,sid,MTLD,HDD,types,tokens,TTR,len_sentence
0,8283_110416_08_cut.txt,27.35526315789474,0.6783530563160058,37,62,0.5967741935483871,3.3157894736842106
1,8283_042416_05_cut.txt,10.628787878787879,0.5837204706236382,44,120,0.36666666666666664,1.9365079365079365
2,283_101416_08_cut.txt,15.083333333333334,0.49857211470221796,46,181,0.2541436464088398,3.549019607843137
3,8283_101416_03_cut_m4a.txt,26.611360799001247,0.6895749092255898,68,259,0.2625482625482625,3.1204819277108435
4,8283_101416_05_cut.txt,7.3144998176332106,0.49012796806368725,48,195,0.24615384615384617,2.6486486486486487
5,8283_012017_05_cut.txt,21.729262086513994,0.6765254547450914,80,295,0.2711864406779661,3.4823529411764707
6,8283_120916_05_cut_save.txt,18.705515587529977,0.679078697205335,70,172,0.4069767441860465,3.017543859649123
7,8283_111716_07_cutsave.txt,17.263157894736842,0.5985769610047489,64,328,0.1951219512195122,4.619718309859155
8,8283_060516_02_cut.txt,24.34633027522936,0.6431538859111399,32,55,0.5818181818181818,2.8947368421052633
9,8283_032817_01_cut.txt,16.85628423615338,0.6027184816197476,74,274,0.27007299270072993,3.101123595505618
10,8283_060516_03_cut.txt,63.1993006993007,0.8004092884022251,79,150,0.5266666666666666,3.8461538461538463
11,8283_052317_03_cut.txt,14.741855556575205,0.5986541433816578,62,246,0.25203252032520324,2.7252747252747254
12,8283_121516_03_cut_save.txt,19.730700884757113,0.6254813668175832,57,133,0.42857142857142855,4.586206896551724
13,8283_parenting_obs_5116_05_cut.txt,9.157894736842104,0.5768484183171619,50,172,0.29069767441860467,3.0526315789473686
14,8283_111716_01_cut.txt,17.03417588204318,0.6910226321323654,65,167,0.38922155688622756,2.0617283950617282
15,8283_012017_04_cut.txt,22.943062979316757,0.7486826357546149,101,304,0.33223684210526316,3.619047619047619
16,8283_110416_02_cut.txt,33.65555555555555,0.7726320941299853,86,156,0.5512820512820513,5.571428571428571
17,8283_060516_01_cut.txt,21.56338226990401,0.7156902252131192,76,223,0.34080717488789236,3.378787878787879
18,8283_parenting_obs_5116_2_cut.txt,12.803615604186488,0.4784909422443949,43,183,0.23497267759562843,4.463414634146342
19,8283_111716_08_cutsave.txt,36.73863636363636,0.7255907659551342,69,159,0.4339622641509434,3.6136363636363638
20,8283_120416_03_cutsave.txt,18.179327521793276,0.7395674784685445,69,162,0.42592592592592593,2.9454545454545453
21,8283_091316_05_cut.txt,38.701817116060965,0.7586193625246335,122,386,0.3160621761658031,3.7115384615384617
22,8283_012017_06_cut.txt,11.822274881516588,0.6036199939023266,40,105,0.38095238095238093,2.8421052631578947
23,8283_parenting_obs_42416_04_cut.txt,18.857142857142858,0.6421225204861478,69,257,0.26848249027237353,3.0
24,8283_120416_06_cutsave.txt,63.76014760147602,0.7817967494795579,46,74,0.6216216216216216,3.3636363636363638
25,8283_012017_07_cut.txt,10.738589312679624,0.5941774491040936,45,109,0.41284403669724773,2.056603773584906
26,8283_091316_04_cut.txt,29.225871313672926,0.7177253182660063,86,226,0.3805309734513274,3.864406779661017
27,8283_parenting_obs_42716_01_cut.txt,16.257612179487182,0.6814356053377716,74,209,0.35406698564593303,3.6166666666666667
28,8283_111716_04_cut_save.txt,29.464994775339605,0.6727103816103795,46,92,0.5,4.181818181818182
29,8283_101416_07_cut.txt,15.200292397660817,0.6339509386463481,81,281,0.28825622775800713,2.8969072164948453
30,8283_110416_03_cut.txt,36.45833333333333,0.7501780377058784,61,123,0.4959349593495935,2.5
31,8283_092216_04_cut.txt,11.435185185185185,0.49232591722751656,31,95,0.3263157894736842,2.375
32,8283_121516_02_cutsave.txt,25.434622103282837,0.7394677959668752,114,371,0.30727762803234504,4.469879518072289
33,8283_110416_06_cut.txt,12.05983545250561,0.6315665776243058,60,261,0.22988505747126436,2.5841584158415842
34,8283_092216_01_cut.txt,14.738675958188153,0.6952981735378191,49,92,0.532608695652174,2.5405405405405403
35,8283_120416_01_cutsave.txt,21.182295860516327,0.7228356960350767,89,276,0.322463768115942,3.5384615384615383
36,8283_101416_02_cut.txt,20.73320970328789,0.7034590847817059,71,179,0.39664804469273746,2.753846153846154
37,8283_102816_01_cut.txt,21.253977272727273,0.6506605655958948,49,111,0.44144144144144143,3.8275862068965516
38,8283_012017_03_cut.txt,17.060537407797682,0.6584566519708495,59,181,0.3259668508287293,3.290909090909091
39,8283_parenting_obs_42416_01_cut.txt,21.7125,0.7559585031998897,83,188,0.44148936170212766,3.4464285714285716
40,8283_121316_01_cut_save.txt,17.520100502512562,0.7054498219647152,63,151,0.41721854304635764,2.923076923076923
41,8283_111716_06_cutsave.txt,16.2,0.4824300942775627,27,72,0.375,3.6
42,8283_110416_07_cut.txt,36.51428571428571,0.7944580014769593,98,213,0.460093896713615,3.1323529411764706
43,8283_101416_01_cut.txt,24.340909090909093,0.7778937524152834,99,255,0.38823529411764707,3.269230769230769
44,8283_parenting_obs_42416_03_cut.txt,20.457585247256883,0.6635253886042191,89,364,0.2445054945054945,4.6455696202531644
45,8283_091316_02_cut.txt,32.33043478260869,0.7458880417547037,69,169,0.40828402366863903,2.6825396825396823
46,8283_012017_01_cut.txt,22.14292949756888,0.629745040941533,71,195,0.3641025641025641,3.482142857142857
47,8283_050116_01_cut.txt,22.035234899328856,0.6909627122204556,81,207,0.391304347826087,3.6964285714285716
48,8283_121516_04_cutsave.txt,20.16190476190476,0.7389541620209339,96,292,0.3287671232876712,3.8933333333333335
