,sid,age,AA,EL,RR,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
0,110416_08,-0.6570776257833331,0.118937389770723,0.5310846560846559,1.2056878306878303,a_recoger,F,-1.25211318124804,con,37,37.0,62,62.0,0.596774193548387,0.5967741935483871,27.355263157894697,27.35526315789474
1,042416_05,-0.4351598177833329,-0.13106261022927698,-0.0939153439153442,-0.9193121693121691,ruidos,F,0.8943665580343171,exp,44,44.0,120,120.0,0.3666666666666671,0.36666666666666664,10.6287878787879,10.628787878787879
2,101416_08,-0.596803652783333,0.743937389770723,0.281084656084656,0.8306878306878309,a_recoger,F,-1.25211318124804,exp,46,46.0,181,181.0,0.25414364640884,0.2541436464088398,15.083333333333302,15.083333333333334
3,101416_03,-0.342009132783333,-0.25606261022927695,0.281084656084656,0.455687830687831,ruidos,F,0.8943665580343171,exp,68,65.0,259,273.0,0.262548262548263,0.23809523809523808,26.611360799001197,16.289030784844385
4,101416_05,-0.646118721783333,-0.756062610229277,0.15608465608465602,-1.04431216931217,a_recoger,F,-1.9676064276754999,exp,48,48.0,195,195.0,0.246153846153846,0.24615384615384617,7.3144998176332106,7.3144998176332106
5,012017_05,-0.577625570783333,0.368937389770723,0.5310846560846559,0.205687830687831,ruidos,F,0.8943665580343171,exp,80,79.0,295,315.0,0.271186440677966,0.2507936507936508,21.729262086514,16.3160232747294
6,120916_05,0.0716894972166666,0.24393738977072302,0.5310846560846559,-0.669312169312169,give_me_toy,M,0.8943665580343171,con,70,70.0,172,172.0,0.40697674418604707,0.4069767441860465,18.705515587529998,18.705515587529977
7,111716_07,0.315525114216667,-0.506062610229277,-0.343915343915344,0.9556878306878309,mis_jugetes,M,0.8943665580343171,exp,64,64.0,328,328.0,0.195121951219512,0.1951219512195122,17.2631578947368,17.263157894736842
8,060516_02,0.44977168921666705,-0.506062610229277,0.281084656084656,-0.419312169312169,orchestra,M,-0.53661993482059,exp,32,32.0,55,55.0,0.581818181818182,0.5818181818181818,24.3463302752294,24.34633027522936
9,032817_01,0.121004566216667,-2.96439594356261,-2.8974867724867703,0.7056878306878309,give_me_toy,F,-0.53661993482059,exp,74,72.0,274,276.0,0.27007299270073,0.2608695652173913,16.8562842361534,15.129508791009606
10,060516_03,-0.13926940678333302,0.868937389770723,0.5310846560846559,1.3306878306878303,give_me_toy,F,-0.53661993482059,con,79,78.0,150,152.0,0.5266666666666671,0.5131578947368421,63.1993006993007,44.68335695166115
11,052317_03,-0.0735159817833335,-2.00606261022928,-2.5939153439153397,0.9556878306878309,give_me_toy,F,0.8943665580343171,exp,62,62.0,246,248.0,0.252032520325203,0.25,14.741855556575198,14.752518343489616
12,121516_03,0.603196347216667,0.618937389770723,0.281084656084656,-0.5443121693121691,orchestra,F,0.8943665580343171,exp,57,57.0,133,133.0,0.42857142857142894,0.42857142857142855,19.730700884757102,19.730700884757113
13,050116_05,0.6662100452166669,-1.8453483245149898,-1.34391534391534,-0.669312169312169,orchestra,F,0.8943665580343171,exp,50,50.0,172,172.0,0.29069767441860495,0.29069767441860467,9.157894736842099,9.157894736842104
14,111716_01,0.3867579912166671,0.868937389770723,0.5310846560846559,0.33068783068783103,orchestra,F,-0.53661993482059,con,65,61.0,167,211.0,0.38922155688622795,0.2890995260663507,17.0341758820432,6.526990017009558
15,012017_04,0.14018264821666698,0.493937389770723,0.5310846560846559,1.3306878306878303,classificando,F,-0.53661993482059,con,101,101.0,304,304.0,0.332236842105263,0.33223684210526316,22.943062979316803,22.943062979316757
16,110416_02,0.592237443216667,-0.0060626102292769,-0.7189153439153442,-1.2943121693121697,orchestra,F,-0.53661993482059,con,86,86.0,156,156.0,0.5512820512820511,0.5512820512820513,33.6555555555556,33.65555555555555
17,060516_01,-0.12009132378333301,0.118937389770723,-0.7189153439153442,0.205687830687831,classificando,F,0.8943665580343171,exp,76,76.0,223,223.0,0.3408071748878919,0.34080717488789236,21.563382269903997,21.56338226990401
18,050116_02,0.0716894972166666,-1.13106261022928,-0.343915343915344,-1.5443121693121697,give_me_toy,F,0.8943665580343171,exp,43,43.0,183,183.0,0.234972677595628,0.23497267759562843,12.803615604186499,12.803615604186488
