JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,108933,111040,"0","0","1",
1,111540,113245,"0","0","1",
2,122529,125400,"0","1","1",
3,127974,129428,"0","0","1",
4,151859,157410,"1","0","1",
5,173064,176286,"1","0","1",
6,190938,195888,"1","0","1",
7,198825,201543,"0","0","1",
8,202323,205333,"0","0","1",
9,218259,222618,"1","0","1",
10,242394,269016,"0","1","1",
11,270468,276243,"0","1","1",
12,277952,284130,"0","1","1",
13,285123,289839,"1","0","1",
