JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,14784,15963,"0","0","1",
1,22209,24935,"0","0","1",
2,27951,29997,"1","0","1",
3,42702,47971,"1","0","1",
4,58974,73849,"0","1","1",
5,80025,83836,"0","0","1",
6,97020,99792,"1","0","0",
7,101079,104247,"0","1","1",
8,126723,130713,"1","0","1",
9,150079,151239,"0","1","1",
10,151629,153054,"0","1","0",
11,153219,154407,"0","1","0",
12,155029,157978,"0","1","0",
13,159339,161078,"0","1","0",
14,161700,163746,"0","1","0",
