JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,117164,119136,"1","0","1",
1,124678,128554,"0","1","0",
2,128690,133178,"0","1","1",
3,133212,175032,"0","1","1",
4,187510,201314,"0","1","1",
5,201348,204476,"0","0","1",
6,207366,216750,"0","1","1",
7,221238,233784,"0","1","1",
8,236572,239326,"1","0","1",
9,250240,253912,"0","0","1",
10,257822,267444,"1","0","1",
11,267648,271558,"1","0","1",
12,279106,283220,"0","0","1",
13,284172,287946,"0","0","1",
14,293964,297092,"0","0","1",
