JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,15643,18678,"1","0","1",
1,20559,25773,"1","0","1",
2,26532,29238,"1","0","1",
3,29898,34683,"1","0","1",
4,36234,41943,"0","1","0",
5,47091,49533,"0","0","1",
6,49731,52074,"1","0","1",
7,56727,63459,"0","1","1",
8,64944,68607,"1","0","1",
9,69958,74547,"1","0","1",
10,78903,84513,"0","1","1",
11,85602,90420,"0","0","1",
12,90816,92565,"0","1","1",
13,95040,104115,"1","0","1",
14,107514,115170,"1","0","1",
15,152130,153978,"1","0","1",
16,159456,162459,"0","0","1",
17,162624,165033,"1","0","1",
18,188826,193809,"1","0","1",
