JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,115632,117150,"1","0","1",
1,117315,121044,"0","1","0",
2,121572,131241,"0","1","1",
3,132264,135234,"0","1","1",
4,138864,140085,"1","0","1",
5,142725,143913,"0","1","0",
6,144408,151470,"0","1","1",
7,157080,159522,"0","1","1",
8,160281,162195,"1","0","1",
9,165891,168894,"1","0","0",
10,169719,180543,"0","1","1",
11,184140,199188,"0","1","1",
12,199617,214071,"0","1","1",
13,217470,219153,"0","0","1",
14,223641,226347,"1","0","0",
15,227403,236742,"0","0","1",
16,243639,260667," 0","1","1",
17,261525,262878,"1","0","1",
18,267432,269313,"0","1","0",
19,269346,272448,"0","1","1",
20,273702,278091,"0","1","1",
21,280005,282645,"0","0","1",
22,285978,293238,"0","1","1",
