JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,10126,19312,"0","1","1",
1,19856,23154,"1","0","1",
2,23188,25976,"1","0","1",
3,33592,37332,"0","1","1",
4,37366,39406,"0","0","1",
5,40086,46988,"0","1","1",
6,48348,50456,"0","0","1",
7,53346,55964,"0","1","1",
8,55998,59126,"0","1","1",
9,67932,69564,"0","1","1",
10,69768,70856,"0","0","1",
11,71264,72114,"0","0","1",
12,73134,73712,"0","0","1",
13,75888,79288,"0","0","1",
14,85102,93160,"0","1","1",
15,94282,107610,"0","1","1",
16,110296,119034,"0","1","1",
17,119646,132192,"0","1","1",
18,135388,148648,"0","1","1",
19,150790,158304,"0","1","1",
20,162350,168878,"0","1","1",
21,169422,186898,"0","1","1",
