JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,106658,115294,"0","1","1",
1,116042,119102,"1","0","1",
2,119816,121550,"0","0","1",
3,124474,128044,"0","0","1",
4,130696,141236,"0","1","1",
5,144670,148070,"1","0","1",
6,151538,153306,"1","0","1",
7,155448,159800,"1","0","1",
8,167314,168232,"1","0","1",
9,187442,196690,"0","1","1",
10,197506,199920,"0","0","1",
11,205768,212500,"1","0","1",
12,213282,219062,"1","0","1",
13,220728,225726,"1","0","1",
14,237150,238850,"0","1","1",
15,250580,251974,"0","1","0",
16,255034,257448,"1","0","1",
17,281860,281792,"1","0","1",
