JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,13202,17138,"0","1","0",
1,18614,29602,"0","1","0",
2,31734,35342,"0","1","0",
3,42763,44444,"0","0","1",
4,49979,54981,"0","1","0",
5,57523,60803,"1","0","1",
6,62935,65846,"0","1","0",
7,71463,98400,"0","1","1",
8,129396,133291,"0","1","1",
9,136817,138867,"0","0","1",
10,141368,144320,"0","0","1",
11,156128,162237,"0","1","1",
12,163098,167198,"0","0","1",
13,172446,178678,"0","1","1",
