JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,2550,"1","0","1",
1,2584,7922,"0","1","1",
2,7956,11152,"0","1","1",
3,12274,22236,"0","1","1",
4,22678,25874,"1","0","1",
5,27676,29648,"0","1","1",
6,31042,44914,"0","1","1",
7,47668,51034,"0","1","1",
8,55794,59704,"0","0","1",
9,60996,68782,"0","1","1",
10,70754,79016,"0","1","1",
11,82178,86326,"0","0","1",
12,87584,89216,"1","0","1",
13,90984,94894,"1","0","1",
14,94962,100912,"0","1","1",
15,101524,108698,"0","1","1",
16,108732,113288,"0","1","1",
17,113322,115124,"1","0","0",
18,115158,116960,"1","0","1",
19,116994,118966,"0","1","0",
20,119408,134198,"0","1","1",
21,134232,175304,"0","1","1",
