JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,188950,190366,"1","0","1",
1,190774,191930,"0","1","0",
2,205632,214914,"0","1","0",
3,215526,227936,"0","1","1",
4,229126,230248,"1","0","1",
5,231064,235926,"0","1","1",
6,236946,239292,"0","1","1",
7,240584,246296,"0","1","1",
8,250070,254320,"0","1","1",
9,258842,260746,"0","1","1",
10,265914,268906,"1","0","0",
11,280398,284240,"1","0","0",
12,284852,288354,"0","1","0",
13,292162,363800,"0","1","1",
14,363834,365398,"1","0","1",
