JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,2176,4658,"0","1","1",
1,5542,11730,"1","0","1",
2,19890,22168,"1","0","1",
3,25364,31450,"0","1","1",
4,31518,33320,"0","1","1",
5,38386,40528,"0","1","0",
6,44030,50354,"0","1","1",
7,61098,62186,"0","1","0",
8,63070,66232,"0","1","1",
9,68510,70448,"0","1","0",
10,72284,78030,"0","1","0",
11,80308,93670,"0","1","1",
12,97852,104754,"0","1","0",
13,107508,113968,"1","0","1",
14,118150,121176,"0","1","1",
15,121210,124032,"0","1","0",
16,126820,136068,"0","1","0",
17,136850,138006,"1","0","1",
18,139910,140998,"0","1","0",
19,142290,166022,"0","1","0",
