JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,14654,17578,"0","0","1",
1,29274,36482,"0","1","1",
2,40698,42194,"1","0","1",
3,47906,51170,"0","1","1",
4,51476,64668,"0","1","1",
5,70278,88468,"0","1","1",
6,93602,96322,"1","0","1",
7,97512,108018,"0","1","0",
8,111452,119034,"0","1","0",
9,120292,124542,"0","1","0",
10,125256,133484,"0","1","0",
11,137020,139400,"0","1","0",
12,140250,145044,"0","1","0",
13,148342,149906,"0","1","0",
14,154564,158032,"0","1","1",
15,163098,169626,"0","1","1",
