JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,7505,16318,"0","1","1",
1,18614,34440,"1","0","1",
2,35752,42148,"0","1","1",
3,47519,49569,"1","0","1",
4,50553,53997,"0","0","1",
5,54612,60106,"1","0","1",
6,63222,76670,"0","1","1",
7,79499,82820,"0","1","1",
8,84870,87781,"0","0","1",
9,89831,92086,"0","0","1",
10,96063,99548,"0","0","1",
11,99835,104591,"1","0","1",
12,106067,133373,"0","1","1",
13,133947,138662,"0","1","1",
14,143336,145345,"1","0","1",
15,148092,150798,"0","0","1",
16,165681,168510,"0","1","1",
17,169494,171544,"0","0","1",
18,182081,185197,"0","0","1",
