JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,2890,"1","0","1",
1,6057,8378,"0","0","1",
2,11262,12512,"0","1","1",
3,16324,21501,"1","0","1",
4,29521,31212,"0","0","1",
5,33643,49402,"0","1","1",
6,54025,57249,"1","0","1",
7,73241,78744,"1","0","1",
8,83485,85342,"1","0","1",
9,98493,106525,"0","1","1",
10,113338,114402,"0","0","1",
11,115062,137426,"0","1","0",
12,140612,144942,"0","1","1",
13,151888,155568,"0","0","1",
14,162280,164768,"0","0","1",
