JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,166378,176505,"1","0","0",
1,178022,192782,"0","1","1",
2,194709,228657,"0","1","1",
3,235094,252560,"0","1","1",
4,257234,276258,"0","1","1",
5,278021,285360,"1","0","1",
6,287246,289706,"0","0","1",
7,293314,305942,"0","1","1",
8,313609,315044,"1","0","1",
9,321768,323285,"1","0","1",
10,329763,332551,"1","0","1",
11,333945,336610,"1","0","1",
12,338045,342227,"0","1","1",
13,343211,349771,"0","1","1",
