JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,11309,15781,"1","0","1",
1,30573,38313,"1","0","1",
2,41796,44634,"0","1","0",
3,49622,53750,"0","1","0",
4,64982,69316,"1","0","1",
5,81614,86731,"0","1","1",
6,98900,103200,"0","1","0",
7,109177,113778,"1","0","1",
8,131494,141427,"0","1","0",
9,148436,151016,"0","0","1",
10,155309,157079,"1","0","0",
11,163400,168001,"1","0","1",
12,170624,179439,"0","1","0",
13,182793,185846,"0","1","0",
