JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,5781,"0","1","1",
1,16195,30422,"0","1","1",
2,35465,36244,"1","0","1",
3,41533,47191,"0","1","1",
4,47273,53546,"0","1","1",
5,61828,63304,"0","1","1",
6,82082,100286,"0","1","1",
7,117711,134685,"0","1","1",
8,138006,145919,"1","0","1",
9,146657,148707,"1","0","1",
10,149281,151495,"1","0","1",
11,158793,163754,"0","0","1",
12,163795,165968,"0","1","1",
13,172651,182983,"0","1","1",
