JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,884,"0","1","1",
1,918,2618,"1","0","1",
2,2856,5236,"1","0","1",
3,5576,8058,"0","1","1",
4,8704,11628,"0","1","1",
5,12138,27336,"0","1","1",
6,28186,54570,"0","1","1",
7,62254,69904,"0","1","1",
8,70176,73338,"0","0","1",
9,76160,80750,"0","0","1",
10,81124,92956,"0","1","1",
11,99008,103802,"0","1","1",
12,106488,115634,"0","1","1",
13,125766,129982,"1","0","1",
14,139298,150688,"0","1","1",
15,152762,166396,"0","1","1",
16,169116,172244,"0","0","1",
17,173332,175542,"0","0","1",
18,177378,182138,"0","1","1",
