JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,182778,185033,"1","0","1",
1,188805,189584,"1","0","1",
2,192905,194422,"1","0","1",
3,209182,212380,"1","0","1",
4,214102,215988,"0","0","1",
5,219801,221646,"1","0","1",
6,222548,232634,"0","1","1",
7,232675,237882,"0","1","1",
8,238456,247271,"0","1","1",
9,258792,263220,"0","1","1",
10,263917,265885,"0","1","0",
11,267033,269001,"0","0","1",
12,280112,284663,"0","1","1",
13,294462,303810,"1","0","1",
14,304425,317873,"0","1","1",
