JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,3060,4726,"1","0","1",
1,7004,8840,"1","0","1",
2,9452,21964,"0","1","1",
3,30090,32844,"0","1","0",
4,33592,37910,"0","1","0",
5,40494,66130,"0","1","1",
6,67252,72386,"1","0","1",
7,73302,77656,"0","1","0",
8,90916,99484,"1","0","1",
9,101252,123420,"0","1","1",
10,125256,151232,"0","1","0",
11,152116,155278,"0","0","1",
12,161874,165512,"1","0","1",
13,169966,173026,"0","0","1",
14,175270,177004,"1","0","1",
15,180663,183600,"0","1","1",
16,185606,186762,"0","1","0",
