JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,2312,"1","0","1",
1,2992,4182,"0","0","1",
2,10948,13294,"1","0","1",
3,16320,25500,"1","0","1",
4,30396,33932,"0","0","1",
5,36822,39576,"0","0","1",
6,62254,64124,"1","0","1",
7,69224,71740,"1","0","1",
8,71944,73678,"0","0","1",
9,82382,85442,"1","0","1",
10,96628,97648,"0","0","1",
11,101694,130594,"0","1","1",
12,132328,133756,"1","0","1",
13,135184,137700,"0","0","1",
14,138312,145622,"1","0","1",
15,150314,154224,"0","1","1",
16,157488,158848,"0","0","1",
17,167824,170000,"0","1","1",
18,174828,179078,"0","1","1",
