JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,274946,281424,"0","1","1",
1,286549,289624,"0","0","1",
2,298767,310206,"0","1","1",
3,314347,320702,"1","0","1",
4,329189,332018,"1","0","1",
5,344277,347229,"1","0","1",
6,347803,350345,"1","0","1",
7,357766,361333,"0","0","1",
8,372198,374125,"1","0","1",
9,376667,398958,"0","1","1",
10,408934,409959,"0","1","0",
11,411189,418569,"0","1","1",
12,431935,433575,"0","0","1",
