JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,5621,15498,"1","0","1",
1,16113,23862,"0","1","1",
2,27593,55309,"0","1","1",
3,66215,68593,"0","0","1",
4,71463,73267,"0","0","1",
5,74292,78351,"0","0","1",
6,79704,80770,"1","0","1",
7,80893,84952,"0","0","1",
8,85649,108650,"0","1","1",
9,123246,144443,"0","1","1",
10,147436,150634,"0","0","1",
11,158424,159449,"0","1","1",
12,163672,171093,"0","1","1",
13,175767,182081,"0","1","1",
