JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,29376,"0","1","1",
1,32912,37298,"0","0","1",
2,43792,46546,"0","0","1",
3,46886,49946,"0","1","1",
4,59500,60622,"1","0","1",
5,64838,68986,"1","0","1",
6,78268,79934,"1","0","1",
7,80206,89726,"1","0","1",
8,92106,101864,"0","1","1",
9,107508,117606,"0","1","1",
10,121720,124848,"0","1","1",
11,125188,131818,"0","1","1",
12,143990,147662,"1","0","1",
13,157420,159868,"1","0","1",
14,174454,176834,"0","1","1",
15,177412,178976,"0","1","1",
16,179724,184008,"0","1","1",
