JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,42078,51537,"0","1","1",
1,54407,54735,"0","1","1",
2,54776,79909,"0","1","1",
3,81631,89216,"0","1","1",
4,89257,140794,"0","1","1",
5,144156,146206,"0","0","1",
6,146247,150142,"0","0","1",
7,150183,153791,"0","0","1",
8,153832,155636,"1","0","1",
9,155677,158219,"0","0","1",
10,158383,160187,"0","0","1",
11,160228,161171,"0","0","1",
12,161551,197497,"0","1","1",
13,200490,201884,"0","1","0",
14,202786,224393,"0","1","1",
15,224885,226976,"0","1","1",
