JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,185878,188768,"1","0","1",
1,188802,190910,"1","0","1",
2,191148,196860,"1","0","1",
3,206074,210426,"0","1","1",
4,210562,216886,"0","1","1",
5,231166,234600,"1","0","1",
6,238408,241026,"1","0","1",
7,250002,252008,"1","0","1",
8,281282,284002,"1","0","1",
9,284716,287674,"1","0","1",
10,288252,290870,"1","0","1",
11,291686,295188,"1","0","1",
12,296004,300220,"0","1","0",
13,301104,305184,"1","0","1",
