JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,210207,213610,"0","1","1",
1,238866,280604,"0","1","1",
2,300858,303400,"1","0","1",
3,304589,306229,"1","0","1",
4,310124,323654,"0","1","1",
5,328615,332756,"0","0","1",
6,334396,337676,"1","0","1",
7,338824,341038,"0","1","1",
8,341940,346286,"0","1","1",
9,346327,358668,"0","1","1",
10,359324,370763,"0","1","1",
11,371665,386179,"0","1","1",
12,396224,398479,"1","0","1",
13,408237,415781,"0","1","1",
