JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,14484,"0","1","1",
1,14518,25704,"0","1","1",
2,26962,30532,"0","1","1",
3,30634,37128,"0","1","1",
4,37944,44846,"0","1","1",
5,44880,51034,"0","1","1",
6,51442,58446,"0","1","1",
7,59058,62254,"1","0","1",
8,62560,67524,"0","1","0",
9,67864,71910,"1","0","1",
10,72318,75548,"0","0","1",
11,78880,88060,"0","1","1",
12,93262,122876,"0","1","1",
13,127024,152490,"0","1","1",
14,164832,169762,"0","1","1",
15,170238,173740,"0","1","0",
