JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,199506,203073,"1","0","1",
1,203770,205000,"1","0","1",
2,210535,215988,"0","1","1",
3,216521,219063,"0","0","1",
4,225295,227755,"0","1","1",
5,233331,235053,"1","0","1",
6,243007,245385,"1","0","1",
7,245877,247271,"1","0","1",
8,247927,251658,"0","1","1",
9,253708,257316,"0","0","1",
10,272978,276012,"1","0","1",
11,277119,279374,"1","0","1",
12,279989,282736,"1","0","1",
13,283761,296717,"0","1","1",
14,299423,303892,"0","1","1",
15,311969,313609,"0","0","1",
16,317750,321112,"1","0","1",
17,326278,331752,"0","1","0",
18,339767,341858,"1","0","1",
19,344154,345876,"0","0","1",
20,352026,353953,"1","0","1",
21,356249,358422,"0","0","1",
22,368713,369246,"1","0","1",
23,369820,373100,"1","0","1",
