JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,7722,14520,"1","0","1",
1,24024,36729,"0","1","1",
2,37092,40755,"1","0","1",
3,46002,50094,"1","0","1",
4,60951,63789,"0","0","1",
5,64218,67353,"0","0","1",
6,68178,113949,"0","1","1",
7,120087,123849,"1","0","1",
8,143187,146355,"0","0","1",
9,146673,148764,"1","0","1",
10,151536,166353,"0","1","1",
11,166980,175659,"0","1","1",
12,175692,179817,"1","0","1",
13,180774,182490,"1","0","1",
