JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,1020,2652,"1","0","1",
1,10506,15368,"0","1","1",
2,16014,20094,"0","1","1",
3,20876,25602,"0","1","1",
4,26452,33558,"0","1","1",
5,34204,44710,"0","1","1",
6,46342,51068,"0","1","0",
7,52088,56440,"0","1","1",
8,56916,62220,"1","0","1",
9,64056,68306,"0","1","1",
10,75990,77996,"0","1","0",
11,97410,105434,"1","0","1",
12,105808,107678,"1","0","1",
13,108018,110976,"0","1","0",
14,116314,122944,"0","1","1",
