JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,163426,166296,"1","0","1",
1,166501,190609,"0","1","1",
2,192700,206722,"0","1","1",
3,208075,214061,"0","1","1",
4,215209,219555,"0","1","0",
5,219760,226402,"1","0","1",
6,238210,245344,"0","1","1",
7,247599,262277,"0","1","1",
8,262318,279251,"0","1","1",
9,286508,294667,"0","1","1",
10,301555,306434,"0","1","1",
11,314224,323490,"0","1","1",
12,324310,328451,"0","1","1",
