JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,36572,39155,"0","1","0",
1,40631,41902,"1","0","1",
2,46002,47519,"0","0","1",
3,52685,65682,"1","0","1",
4,67076,73431,"0","1","0",
5,76383,78433,"0","0","1",
6,94997,101475,"1","0","1",
7,101516,107625,"0","1","1",
8,116850,121606,"1","0","1",
9,127141,130052,"0","0","1",
10,137104,141368,"0","0","1",
11,163344,169658,"0","1","0",
12,169904,176136,"0","1","1",
13,176792,177571,"1","0","1",
14,181630,182532,"1","0","1",
15,182573,189010,"0","1","1",
16,190035,192782,"0","0","1",
17,201720,205902,"0","1","0",
18,207788,211437,"0","0","1",
