JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,87740,110495,"0","1","1",
1,113078,117219,"1","0","1",
2,120745,123820,"0","0","1",
3,125378,126731,"0","1","0",
4,126731,135956,"0","1","1",
5,143336,148133,"1","0","1",
6,150470,153504,"0","0","1",
7,163303,188231,"0","1","1",
8,189912,197743,"0","1","1",
9,204098,207132,"0","0","1",
10,209715,212749,"0","0","1",
11,215906,218940,"0","0","1",
12,219637,223778,"0","1","1",
13,223778,228616,"0","1","1",
14,232675,234971,"0","1","0",
15,236406,261252,"0","1","1",
