JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,13112,21566,"1","0","1",
1,22099,27388,"0","1","1",
2,31570,40508,"0","1","1",
3,40590,50963,"0","1","1",
4,52767,64165,"0","1","1",
5,64206,67404,"0","0","1",
6,75768,80032,"1","0","1",
7,80565,85198,"0","1","1",
8,91430,101106,"0","1","1",
9,105780,107584,"1","0","1",
10,113652,132758,"0","1","1",
11,132799,135218,"1","0","1",
12,140513,144402,"0","0","1",
13,144443,147641,"0","0","1",
14,170191,179170,"0","1","1",
15,179334,182081,"0","1","1",
