JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,4394,12259,"1","0","1",
1,14145,21935,"0","1","1",
2,22632,29069,"1","0","1",
3,38499,46494,"1","0","1",
4,47396,55145,"1","0","1",
5,55708,83148,"0","1","1",
6,89380,99671,"1","0","1",
7,100819,111438,"1","0","1",
8,121524,131938,"0","1","1",
9,136284,148297,"1","0","1",
10,148830,154406,"1","0","1",
11,154816,157317,"0","0","1",
12,165886,169822,"1","0","1",
13,170355,173471,"1","0","1",
14,173635,176792,"0","0","1",
15,182081,185935,"1","0","1",
