JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,8466,14076,"0","1","1",
1,18768,20352,"0","0","1",
2,40558,41582,"1","0","1",
3,42168,50626,"1","0","1",
4,51184,57358,"1","0","1",
5,75038,85476,"0","1","1",
6,87856,91356,"0","1","1",
7,105400,112405,"1","0","1",
8,123024,123828,"0","1","1",
9,127364,129540,"0","1","1",
10,130622,136374,"1","0","1",
11,137302,143140,"0","1","0",
12,144256,151946,"0","1","0",
13,152762,159154,"0","1","0",
14,160210,168028,"0","1","0",
15,177344,190582,"0","1","1",
