JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,162606,169248,"1","0","1",
1,169453,176177,"0","1","1",
2,176710,180318,"1","0","1",
3,200490,204180,"0","1","1",
4,205246,219883,"0","1","1",
5,221359,222056,"1","0","0",
6,222999,242802,"0","1","1",
7,243704,246615,"0","1","1",
8,261006,263056,"0","1","1",
9,263917,276873,"0","1","0",
10,279333,288640,"1","0","1",
11,294298,298152,"0","1","1",
12,310452,313937,"1","0","1",
13,321850,331444,"0","1","1",
14,333166,341079,"0","1","1",
