JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,39975,43501,"1","0","1",
1,43747,60065,"0","1","1",
2,60844,63796,"0","0","1",
3,63837,67117,"0","0","1",
4,72570,75645,"0","0","1",
5,76547,86428,"0","1","1",
6,88437,91471,"0","0","1",
7,97170,105042,"0","1","1",
8,105452,113037,"0","1","1",
9,113447,115907,"0","1","1",
10,121893,129273,"0","1","1",
11,159613,168469,"0","1","1",
12,170765,173430,"0","0","1",
13,175726,178022,"0","0","1",
14,188887,190650,"0","0","1",
15,200326,203647,"0","0","1",
16,203688,207132,"0","0","1",
17,207542,210125,"0","0","1",
