"","sid","types","tokens","TTR","MTLD","condition","video","age","gender","parent_ed","AA","EL","RR"
"1","110416_08",37,62,0.596774193548387,27.3552631578947,"con","a_recoger",-0.657077625783333,"F",-1.25211318124804,0.118937389770723,0.531084656084656,1.20568783068783
"2","042416_05",44,120,0.366666666666667,10.6287878787879,"exp","ruidos",-0.435159817783333,"F",0.894366558034317,-0.131062610229277,-0.0939153439153442,-0.919312169312169
"3","101416_08",46,181,0.25414364640884,15.0833333333333,"exp","a_recoger",-0.596803652783333,"F",-1.25211318124804,0.743937389770723,0.281084656084656,0.830687830687831
"4","101416_03",68,259,0.262548262548263,26.6113607990012,"exp","ruidos",-0.342009132783333,"F",0.894366558034317,-0.256062610229277,0.281084656084656,0.455687830687831
"5","101416_05",48,195,0.246153846153846,7.31449981763321,"exp","a_recoger",-0.646118721783333,"F",-1.9676064276755,-0.756062610229277,0.156084656084656,-1.04431216931217
"6","012017_05",80,295,0.271186440677966,21.729262086514,"exp","ruidos",-0.577625570783333,"F",0.894366558034317,0.368937389770723,0.531084656084656,0.205687830687831
"7","120916_05",70,172,0.406976744186047,18.70551558753,"con","give_me_toy",0.0716894972166666,"M",0.894366558034317,0.243937389770723,0.531084656084656,-0.669312169312169
"8","111716_07",64,328,0.195121951219512,17.2631578947368,"exp","mis_jugetes",0.315525114216667,"M",0.894366558034317,-0.506062610229277,-0.343915343915344,0.955687830687831
"9","060516_02",32,55,0.581818181818182,24.3463302752294,"exp","orchestra",0.449771689216667,"M",-0.53661993482059,-0.506062610229277,0.281084656084656,-0.419312169312169
"10","032817_01",74,274,0.27007299270073,16.8562842361534,"exp","give_me_toy",0.121004566216667,"F",-0.53661993482059,-2.96439594356261,-2.89748677248677,0.705687830687831
"11","060516_03",79,150,0.526666666666667,63.1993006993007,"con","give_me_toy",-0.139269406783333,"F",-0.53661993482059,0.868937389770723,0.531084656084656,1.33068783068783
"12","052317_03",62,246,0.252032520325203,14.7418555565752,"exp","give_me_toy",-0.0735159817833335,"F",0.894366558034317,-2.00606261022928,-2.59391534391534,0.955687830687831
"13","121516_03",57,133,0.428571428571429,19.7307008847571,"exp","orchestra",0.603196347216667,"F",0.894366558034317,0.618937389770723,0.281084656084656,-0.544312169312169
"14","050116_05",50,172,0.290697674418605,9.1578947368421,"exp","orchestra",0.666210045216667,"F",0.894366558034317,-1.84534832451499,-1.34391534391534,-0.669312169312169
"15","111716_01",65,167,0.389221556886228,17.0341758820432,"con","orchestra",0.386757991216667,"F",-0.53661993482059,0.868937389770723,0.531084656084656,0.330687830687831
"16","012017_04",101,304,0.332236842105263,22.9430629793168,"con","classificando",0.140182648216667,"F",-0.53661993482059,0.493937389770723,0.531084656084656,1.33068783068783
"17","110416_02",86,156,0.551282051282051,33.6555555555556,"con","orchestra",0.592237443216667,"F",-0.53661993482059,-0.0060626102292769,-0.718915343915344,-1.29431216931217
"18","060516_01",76,223,0.340807174887892,21.563382269904,"exp","classificando",-0.120091323783333,"F",0.894366558034317,0.118937389770723,-0.718915343915344,0.205687830687831
"19","050116_02",43,183,0.234972677595628,12.8036156041865,"exp","give_me_toy",0.0716894972166666,"F",0.894366558034317,-1.13106261022928,-0.343915343915344,-1.54431216931217
"20","111716_08",69,159,0.433962264150943,36.7386363636364,"exp","mis_jugetes",0.507305936216667,"F",-0.53661993482059,0.243937389770723,0.531084656084656,0.330687830687831
"21","120416_03",69,162,0.425925925925926,18.1793275217933,"con","classificando",-0.196803652783333,"M",-0.53661993482059,-0.131062610229277,-0.0939153439153442,-1.16931216931217
"22","091316_05",122,386,0.316062176165803,38.701817116061,"con","ruidos",0.477168950216666,"M",-1.9676064276755,NA,NA,NA
"23","012017_06",40,105,0.380952380952381,11.8222748815166,"con","mis_jugetes",0.321004566216667,"M",0.894366558034317,0.118937389770723,-0.343915343915344,-0.794312169312169
"24","042416_04",69,257,0.268482490272374,18.8571428571429,"exp","give_me_toy",-0.0461187217833334,"F",0.894366558034317,-0.631062610229277,0.0310846560846558,-0.294312169312169
"25","120416_06",46,74,0.621621621621622,63.760147601476,"con","classificando",0.101826484216667,"F",-0.53661993482059,0.493937389770723,0.531084656084656,-0.794312169312169
"26","012017_07",45,109,0.412844036697248,10.7385893126796,"con","a_recoger",-0.314611871783333,"F",-1.9676064276755,0.118937389770723,0.531084656084656,0.205687830687831
"27","091316_04",86,226,0.380530973451327,29.2258713136729,"con","mis_jugetes",-0.0570776257833334,"F",-0.53661993482059,NA,NA,NA
"28","042716_01",74,209,0.354066985645933,16.2576121794872,"exp","classificando",0.110045662216667,"M",0.894366558034317,0.368937389770723,-0.593915343915344,-0.294312169312169
"29","111716_04",46,92,0.5,29.4649947753396,"con","mis_jugetes",0.515525114216667,"F",0.178873311606863,0.618937389770723,-0.0939153439153442,-2.29431216931217
"30","101416_07",81,281,0.288256227758007,15.2002923976608,"exp","a_recoger",-0.602283104783333,"F",-1.25211318124804,-0.506062610229277,0.0310846560846558,0.580687830687831
"31","110416_03",61,123,0.495934959349593,36.4583333333333,"con","orchestra",0.299086758216667,"M",0.894366558034317,0.118937389770723,0.281084656084656,-1.04431216931217
"32","092216_04",31,95,0.326315789473684,11.4351851851852,"con","ruidos",-0.591324200783333,"F",-1.25211318124804,NA,NA,NA
"33","121516_02",114,371,0.307277628032345,25.4346221032828,"exp","mis_jugetes",0.674429224216667,"M",0.894366558034317,0.868937389770723,0.281084656084656,-1.04431216931217
"34","110416_06",60,261,0.229885057471264,12.0598354525056,"con","a_recoger",-0.443378995783333,"F",0.894366558034317,0.618937389770723,0.156084656084656,-0.294312169312169
"35","092216_01",49,92,0.532608695652174,14.7386759581882,"con","ruidos",-0.309132419783333,"F",0.894366558034317,NA,NA,NA
"36","120416_01",89,276,0.322463768115942,21.1822958605163,"con","classificando",-0.0899543377833334,"F",-0.53661993482059,-0.0060626102292769,0.531084656084656,0.205687830687831
"37","101416_02",71,179,0.396648044692737,20.7332097032879,"exp","ruidos",-0.295433789783333,"F",0.894366558034317,0.618937389770723,0.406084656084656,-0.419312169312169
"38","102816_01",49,111,0.441441441441441,21.2539772727273,"con","ruidos",-0.363926940783333,"F",-1.9676064276755,0.118937389770723,0.281084656084656,1.33068783068783
"39","012017_03",59,181,0.325966850828729,17.0605374077977,"con","mis_jugetes",0.238812785216667,"F",-0.53661993482059,-0.256062610229277,0.156084656084656,1.20568783068783
"40","042416_01",83,188,0.441489361702128,21.7125,"exp","ruidos",-0.437899543783333,"F",0.894366558034317,-0.256062610229277,-0.343915343915344,-0.169312169312169
"41","121316_01",63,151,0.417218543046358,17.5201005025126,"con","give_me_toy",-0.246118721783333,"M",-0.53661993482059,0.868937389770723,0.156084656084656,0.205687830687831
"42","111716_06",27,72,0.375,16.2,"con","orchestra",0.710045662216667,"M",-1.25211318124804,0.493937389770723,0.531084656084656,1.45568783068783
"43","110416_07",98,213,0.460093896713615,36.5142857142857,"con","a_recoger",-0.278995433783333,"M",0.894366558034317,-1.25606261022928,0.156084656084656,-0.794312169312169
"44","101416_01",99,255,0.388235294117647,24.3409090909091,"con","ruidos",-0.407762556783333,"F",0.178873311606863,0.368937389770723,0.531084656084656,-0.294312169312169
"45","042416_03",89,364,0.244505494505494,20.4575852472569,"exp","a_recoger",-0.580365296783333,"M",0.894366558034317,0.868937389770723,-0.218915343915344,-1.41931216931217
"46","091316_02",69,169,0.408284023668639,32.3304347826087,"con","give_me_toy",-0.106392693783333,"F",0.894366558034317,0.368937389770723,0.531084656084656,0.580687830687831
"47","012017_01",71,195,0.364102564102564,22.1429294975689,"exp","orchestra",0.279908676216666,"F",-0.53661993482059,NA,NA,NA
