JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,14256,22869,"0","1","1",
1,34089,40887,"0","1","1",
2,58575,75075,"0","1","1",
3,81279,86988,"0","1","1",
4,91410,96822,"0","1","1",
5,133716,179916,"0","1","1",
6,182853,187869,"0","1","1",
7,188298,191763,"1","0","1",
