JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,109026,111659,"1","0","1",
1,111659,112893,"0","0","1",
2,123142,135069,"1","0","1",
3,152384,157872,"1","0","1",
4,173606,176500,"1","0","1",
5,191275,197769,"1","0","1",
6,199194,202389,"0","0","1",
7,202389,205227,"0","0","1",
8,218170,223014,"1","0","1",
9,242749,269874,"0","1","1",
10,271967,276705,"0","1","1",
11,278036,284460,"0","1","1",
12,287066,287732,"1","0","1",
