JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,186116,188564,"1","0","1",
1,188564,191590,"1","0","1",
2,191590,196690,"1","0","1",
3,206142,210630,"0","1","1",
4,210936,218042,"0","1","1",
5,232220,234906,"1","0","1",
6,238612,242590,"0","1","1",
7,250036,253198,"1","0","1",
8,281996,284614,"1","0","1",
9,284614,288048,"1","0","1",
10,288048,291482,"1","0","1",
11,291516,295664,"1","0","1",
12,298724,300390,"1","0","1",
13,301818,305558,"1","0","1",
14,306952,312630,"1","0","1",
