JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,11567,15867,"1","0","1",
1,31175,38743,"1","0","1",
2,43774,44634,"0","1","0",
3,49966,53879,"0","1","0",
4,63812,69531,"1","0","1",
5,81743,86860,"0","1","1",
6,99158,105006,"0","1","0",
7,108790,114079,"1","0","1",
8,132225,141728,"0","1","0",
9,158154,161121,"0","0","1",
10,163271,164260,"1","0","1",
11,164346,168345,"1","0","1",
12,171140,179783,"0","1","0",
13,183352,186964,"0","1","0",
