JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,37433,39811,"0","1","0",
1,41164,43542,"1","0","1",
2,46658,47683,"0","0","1",
3,53464,66748,"1","0","1",
4,68716,73841,"0","1","0",
5,76793,83845,"1","0","1",
6,94915,102172,"1","0","1",
7,102172,111274,"0","1","1",
8,117670,122877,"1","0","1",
9,127674,131774,"1","0","1",
10,139072,142106,"0","0","1",
11,167116,169781,"1","0","1",
12,171093,178391,"0","1","1",
13,181630,183106,"1","0","1",
14,183106,189051,"0","1","1",
15,189051,192085,"0","0","1",
16,208608,211642,"0","0","1",
