JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,3706,6732,"1","0","1",
1,6732,9452,"1","0","1",
2,9792,22610,"0","1","1",
3,30124,32742,"0","1","0",
4,33932,38250,"0","1","0",
5,41004,68238,"0","1","1",
6,68238,72556,"1","0","1",
7,73372,77622,"0","1","0",
8,77996,79526,"1","0","0",
9,81192,90236,"1","0","1",
10,91596,101048,"1","0","1",
11,101762,123828,"0","1","1",
12,152592,156400,"1","0","1 ",
13,162486,167654,"1","0","1",
14,170510,174114,"0","0","1",
15,176018,177752,"1","0","1",
16,180268,185062,"0","1","1",
