JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,13530,22714,"0","1","1",
1,22714,33866,"0","1","1",
2,34317,38622,"1","0","1",
3,38909,41943,"1","0","1",
4,43870,50307,"0","1","1",
5,50307,72160,"0","1","1",
6,72160,76014,"0","1","0",
7,79704,83804,"1","0","1",
8,91717,97211,"0","1","1",
9,97211,100245,"0","0","1",
10,103853,110044,"0","1","1",
11,110044,113037,"1","0","1",
12,121893,123328,"1","0","0",
13,127633,141901,"1","0","1",
14,158629,165107,"0","1","1",
