JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,14553,15147,"1","0","1",
1,22638,25608,"0","0","1",
2,27901,31911,"0","1","1",
3,43032,46941,"1","0","1",
4,46941,49344,"1","0","0",
5,58501,73788,"0","1","1",
6,79957,83028,"0","0","1",
7,97361,100608,"1","0","0",
8,100608,105633,"0","1","1",
9,128106,130977,"1","0","1",
10,150184,152988,"0","1","1",
11,153252,155018,"0","1","0",
12,155018,159299,"0","1","0",
13,159299,161500,"0","1","0",
14,161500,164670,"0","1","0",
