JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,39947,55255,"0","1","1",
1,57405,89698,"0","1","1",
2,89698,92149,"1","0","1",
3,130720,156133,"0","1","1",
4,156950,173118,"0","1","1",
5,183481,187910,"1","0","1",
