JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,116926,119340,"1","0","1",
1,126446,128656,"0","1","0",
2,128724,134436,"0","1","1",
3,138448,175304,"0","1","1",
4,188598,202640,"0","1","1",
5,202640,205666,"0","0","1",
6,207638,217022,"0","1","1",
7,222190,236606,"0","1","1",
8,236606,243882,"1","0","1",
9,250886,253878,"0","0","1",
10,258400,265506,"1","0","1",
11,268192,272000,"1","0","1",
12,279752,282778,"0","0","1",
13,284750,287776,"0","0","1",
14,294270,297296,"0","0","1",
