JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,164492,167444,"1","0","1",
1,167444,182614,"0","1","1",
2,182614,190896,"0","1","1",
3,193397,206722,"0","1","1",
4,208403,214266,"0","1","1",
5,216357,220129,"0","1","0",
6,220129,226771,"1","0","1",
7,228821,234848,"0","1","1",
8,238784,247558,"0","1","1",
9,248583,262277,"0","1","1",
10,262933,279456,"0","1","1",
11,280891,299628,"0","1","1",
12,302785,306639,"0","1","1",
13,314265,324269,"0","1","1",
14,324269,328451,"0","1","1",
