JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,1700,2788,"1","0","1",
1,11118,15912,"0","1","1",
2,16660,20468,"0","1","1",
3,21182,26078,"0","1","1",
4,26894,31314,"0","1","1",
5,34782,45322,"0","1","1",
6,47430,51238,"0","1","0",
7,52428,56338,"1","0","1",
8,57222,62390,"1","0","1",
9,64260,69904,"0","1","1",
10,76602,78200,"0","1","0",
11,98158,105468,"1","0","1",
12,106284,108018,"1","0","1",
13,108018,111214,"0","1","0",
14,118592,123182,"0","1","1",
15,133926,134946,"1","0","1",
